IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
GBP2,-0.80735,1.297821907,2.662865515,1.32407,1.55246,1.447904871,-0.447072908,1,0.009294614,4.97E-13,3.83E-33,4.09E-31,1.73E-14,0.061556047
FYN,0.23073,1.522706581,1.396306844,0.00243,2.15761,-0.077925294,-0.267141946,1,0.001190509,0.000997423,0.988500026,4.02E-44,0.844574404,0.448292024
NOD2,0.05121,0.679337529,0.285238408,2.67502,1.07928,2.636849248,2.665634017,1,1,1,4.22E-18,1,1.23E-09,4.90E-11
MT2A,0.02346,-0.164491058,0.125839705,2.33833,1.16956,1.000286759,-0.633864756,1,1,1,1.54E-30,1.95E-34,4.86E-13,2.97E-05
IFI35,-0.54991,0.900456774,0.722436808,2.21792,-0.13,2.308799841,-1.019059725,0.405607162,1,1,1.54E-106,0.332127431,1,1
HLA-B,0.28353,1.431330534,1.64900762,0.58539,1.27356,1.82915896,0.957029067,0.6507619,0.039773903,1,1.72E-06,9.68E-37,3.18E-96,1.30E-24
FGB,0.0415,0.114968585,-1.57004738,0.6677,-0.59517,-0.193697936,-2.851393894,0.9718821,0.861875945,0.000222153,0,1,1,8.63E-27
CXCL10,0.19027,5.81497578,4.018623114,5.8811,-0.79654,2.345895309,0.208272937,1,7.47E-37,4.76E-13,3.69E-252,1,1,1
IL6,0.12364,3.650106174,4.997248257,5.93856,3.77965,3.006065371,0.486047042,1,4.99E-16,8.27E-31,0,2.94E-33,2.59E-26,0.19356108
TNF,0.05121,1.059296723,2.699903195,6.96322,0.87585,4.161780361,4.179756682,1,1,3.13E-06,0,1,3.70E-29,8.31E-30
