log2FoldChange,padj
SRRM1,-0.0448485295,0.974662038
CLIC4,0.6965229794,0.4867050327
RUNX3,-1.0071714418,0.4285965865
SYF2,-1.0372367049,0.3933910569
C1orf63,0.149464945,0.9181010679
RHD,-0.8237185908,NaN
TMEM50A,1.5234533077,0.0487001014
RHCE,-0.2203380965,NaN
TMEM57,0.9244721651,0.3822306224
LDLRAP1,-3.4256715239,0.0087285141
MAN1C1,1.0715654454,0.4731327503
SEPN1,-1.6244198488,0.1924482464
MTFR1L,-2.3434916514,NaN
LOC646471,-1.1849509319,NaN
AUNIP,-0.2312654443,NaN
PAQR7,-1.4528045302,0.2893489143
STMN1,-1.3032058921,0.2102044839
MIR3917,NaN,NaN
PAFAH2,0.0647951326,0.9735898247
EXTL1,-0.30931903,NaN
SLC30A2,-0.339186975,NaN
TRIM63,-0.2189834281,NaN
PDIK1L,-1.698493949,NaN
FAM110D,-2.386507809,0.0878448544
ZNF593,-2.7549190715,0.0120485618
CNKSR1,1.0589894475,0.4162843927
CATSPER4,-0.0127306013,NaN
CEP85,-2.01428742,NaN
SH3BGRL3,2.6074997929,1.47E-05
UBXN11,0.2999316131,0.8553509827
CD52,0.9504267288,0.4665144163
AIM1L,-1.0503464621,NaN
ZNF683,-0.6723139356,NaN
LIN28A,-0.0635296015,NaN
DHDDS,-3.3795209198,0.0097028758
HMGN2,-1.8006372423,0.1114247472
RPS6KA1,0.0591788491,0.9621004351
MIR1976,2.6811906294,0.053610047
ARID1A,-0.6903954427,0.5217849831
PIGV,1.2462461313,0.2283389272
ZDHHC18,-0.4899543576,0.6724858806
SFN,-3.5801482646,0.0064614608
GPN2,-3.0381762069,0.0234837306
GPATCH3,-2.9820991119,0.0275318036
NR0B2,-1.1237681111,NaN
NUDC,-1.6042360341,0.1012730483
C1orf172,-1.0481025376,NaN
TRNP1,-1.2553199624,0.37979358
FAM46B,-1.4962866909,NaN
SLC9A1,-3.7331364833,0.0034274675
WDTC1,-0.5604697381,0.6540893782
TMEM222,-2.0215812099,0.0597803363
LOC644961,-0.3746156155,NaN
SYTL1,0.7371371842,NaN
MAP3K6,-3.2363493129,0.019227236
FCN3,-1.4793369386,0.292618359
CD164L2,-0.3040090676,NaN
GPR3,-2.2679232159,0.1048366605
WASF2,-1.4612887296,0.2396380833
AHDC1,-2.2945711558,0.0787768764
FGR,3.3952231209,0.0001541396
IFI6,6.6774750206,3.67E-39
FAM76A,-0.0297610628,0.9878447986
STX12,1.0219758615,0.2286866534
PPP1R8,-0.7069960512,0.4965380198
SCARNA1,1.9709460427,NaN
THEMIS2,0.5008562644,0.6483019407
RPA2,0.0392945911,0.9830551616
SMPDL3B,-1.2913294953,NaN
XKR8,0.3346472868,NaN
EYA3,0.4387956262,0.7781648602
PTAFR,1.0516507519,0.3252144968
DNAJC8,0.2785865241,0.7891437437
ATPIF1,-1.4743253863,0.231992775
SESN2,-3.4416274863,0.0086412868
MED18,2.8262804984,NaN
PHACTR4,-0.1141805633,0.9430447381
SNHG3,-2.4229113941,0.0274446061
RCC1,-0.3518401095,0.8141056107
TRNAU1AP,-2.6023849863,0.0318991351
SNHG12,-2.3138523613,0.0616544263
SNORD99,-1.3294518011,NaN
SNORA61,0.6182562075,NaN
SNORA44,0.596973048,NaN
SNORA16A,0.7349333042,NaN
RAB42,-0.6296846966,NaN
TAF12,1.0647231399,0.3144149165
RNU11,4.2983138562,7.16E-05
GMEB1,-2.2583689726,NaN
YTHDF2,-0.9088329592,0.3361135791
OPRD1,NaN,NaN
EPB41,-0.5393462244,0.7123503334
TMEM200B,-0.8843484676,NaN
SRSF4,-0.6172991821,0.5800851798
MECR,-1.2180043037,0.3722932396
PTPRU,-0.9437258773,0.4984175945
MATN1,-0.5504260066,NaN
MATN1-AS1,-1.051635829,NaN
LAPTM5,1.0048132029,0.1981064753
MIR4420,NaN,NaN
SDC3,-2.5977814053,NaN
PUM1,-0.0744863799,0.9701487128
SNORD103B,NaN,NaN
SNORD103A,NaN,NaN
SNORD85,NaN,NaN
NKAIN1,NaN,NaN
SNRNP40,0.1269587874,0.9293045344
ZCCHC17,-1.1383010764,0.3120238014
FABP3,-1.8653065993,0.128593914
